energy,count,color
-11.985713999992186,4,g
-11.842856999992136,8,g
-11.77142799999217,4,g
-11.699999999992087,12,g
-11.628570999992121,13,g
-11.557142999992038,16,g
-11.485713999992072,22,g
-11.414284999992105,18,g
-11.342856999992023,31,g
-11.271427999992056,38,g
-11.199999999992087,10,g
-11.128570999992007,58,g
-11.05714199999204,44,g
-10.914284999991992,76,g
-10.842856999992023,38,g
-10.699999999991974,96,g
-10.628570999992007,18,g
-10.571428999991554,27,r
-10.485713999991958,87,g
-10.428570999991393,34,r
-10.35714299999188,20,r
-10.285713999991344,41,r
-10.271427999991943,64,g
-10.214284999991378,80,r
-10.142856999991295,82,r
-10.071427999991329,97,r
-10.057142999992038,28,g
-9.999998999991703,67,r
-9.92857099999128,176,r
-9.857141999991654,166,r
-9.78571399999123,156,r
-9.714284999991492,277,r
-9.642856999992318,55,r
-9.571427999992466,250,r
-9.499999999991587,415,r
-9.428570999992417,78,r
-9.357141999991427,394,r
-9.285713999992367,254,r
-9.214284999992287,91,r
-9.142855999991411,558,r
-9.071427999992238,333,r
-8.999998999991362,73,r
-8.928570999991393,382,r
-8.857142999992789,209,r
