feasibility,energy
1,-16.785427
1,-16.785427
1,-16.785427
1,-16.785427
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.642544
1,-16.571133
1,-16.571133
1,-16.571133
1,-16.571133
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.499722
1,-16.428371
1,-16.428371
1,-16.428371
1,-16.428371
1,-16.42831
1,-16.42831
1,-16.42831
1,-16.42831
1,-16.428242
1,-16.428242
1,-16.428242
1,-16.428242
1,-16.428242
1,-16.3569
1,-16.3569
1,-16.3569
1,-16.3569
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.356838
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285488
1,-16.285427
1,-16.285427
1,-16.285427
1,-16.285427
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.28542
1,-16.21407
1,-16.21407
1,-16.21407
1,-16.21407
1,-16.21407
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.214016
1,-16.213886
1,-16.213886
1,-16.213886
1,-16.213886
1,-16.213886
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142605
1,-16.142597
1,-16.142597
1,-16.142597
1,-16.142597
1,-16.142597
1,-16.142544
1,-16.142544
1,-16.142544
1,-16.142544
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.142536
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071194
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071186
1,-16.071175
1,-16.071175
1,-16.071175
1,-16.071175
1,-16.071175
1,-16.071175
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-16.070942
1,-15.999714
1,-15.999713
1,-15.999713
1,-15.999713
1,-15.999713
1,-15.999531
1,-15.99953
1,-15.99953
1,-15.99953
1,-15.99953
1,-15.928353
1,-15.928353
1,-15.928353
1,-15.928353
1,-15.928352
1,-15.928352
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
1,-15.92831
