feasibility,energy
1,-9.28503
1,-9.28503
1,-9.28503
1,-9.28503
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.142208
1,-9.070766
1,-9.070766
1,-9.070766
1,-9.070766
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999325
1,-8.999264
1,-8.999264
1,-8.999264
1,-8.999264
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927944
1,-8.927937
1,-8.927936
1,-8.927936
1,-8.927936
1,-8.927936
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.8564415
1,-8.785091
1,-8.785091
1,-8.785091
1,-8.785091
1,-8.785053
1,-8.785052
1,-8.785052
1,-8.785052
1,-8.785052
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.78503
1,-8.784992
1,-8.784991
1,-8.784991
1,-8.784991
1,-8.784991
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713711
1,-8.713673
1,-8.713672
1,-8.713672
1,-8.713672
1,-8.713672
1,-8.713062
1,-8.713061
1,-8.713061
1,-8.713061
1,-8.713061
1,-8.642239
1,-8.642239
1,-8.642239
1,-8.642239
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.642208
1,-8.64217
1,-8.64217
1,-8.64217
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.642169
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.5708275
1,-8.57082
1,-8.570819
1,-8.570819
1,-8.570819
1,-8.570819
1,-8.570759
1,-8.570758
1,-8.570758
1,-8.570758
1,-8.570758
1,-8.570748
1,-8.570748
1,-8.570748
1,-8.570748
1,-8.570747
1,-8.570747
1,-8.570148
1,-8.5701475
1,-8.5701475
1,-8.5701475
1,-8.5701475
1,-8.570087
1,-8.5700865
1,-8.5700865
1,-8.5700865
1,-8.5700865
1,-8.499439
1,-8.499438
1,-8.499438
1,-8.499438
1,-8.499438
1,-8.498829
1,-8.498828
1,-8.498828
1,-8.498828
1,-8.498828
1,-8.427967
1,-8.427966
1,-8.427966
1,-8.427966
1,-8.427966
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427944
1,-8.427937
1,-8.427937
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427936
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427926
1,-8.427925
1,-8.427925
1,-8.427925
1,-8.427925
1,-8.427357
1,-8.427356
1,-8.427356
1,-8.427356
1,-8.427356
1,-8.427265
1,-8.427265
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.427264
1,-8.356576
1,-8.356576
1,-8.356576
1,-8.356576
1,-8.356575
1,-8.356575
1,-8.356556
1,-8.356556
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356555
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.356533
1,-8.355946
1,-8.355946
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355945
1,-8.355905
1,-8.355905
1,-8.355905
1,-8.355905
1,-8.355904
1,-8.355904
0,-8.321426
0,-8.321426
0,-8.321426
0,-8.320747
